District,StreetBlock,LATITUDE_X,LONGITUDE_X,SNA_NEIGHBORHOOD,ShootID,RMS_No,Race,Sex,Age,Type,YearOccurred,DateOccurred,TimeOccurred,DateTimeOccured,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,900 Block of GRAND AV,39.1083,-84.5608,East Price Hill,6926,2024-INC-014106,HISPANIC,MALE,18,NONFATAL,2024,20241117,234700,11/17/2024 11:47:00 PM,East Price Hill
1,1600 Block of LINN ST,39.1152,-84.5275,West End,7051,2025-INC-010334,BLACK,MALE,35,NONFATAL,2025,20250530,002500,5/30/2025 12:25:00 AM,West End
4,4800 Block of WINNESTE AV,39.1785,-84.5114,Winton Hills,7052,2025-INC-010336,BLACK,MALE,28,NONFATAL,2025,20250530,005000,5/30/2025 12:50:00 AM,Winton Hills
3,3800 Block of LLEWELLYN AV,39.1562,-84.5497,South Cumminsville,7054,2025-INC-010362,BLACK,MALE,27,FATAL,2025,20250530,113300,5/30/2025 11:33:00 AM,South Cumminsville
1,1600 Block of REPUBLIC ST,39.1128,-84.5176,Over-the-Rhine,7047,2025-INC-010240,BLACK,MALE,39,NONFATAL,2025,20250529,034000,5/29/2025 3:40:00 AM,OTR
1,1600 Block of REPUBLIC ST,39.1142,-84.5166,Over-the-Rhine,7048,2025-INC-010240,BLACK,MALE,52,NONFATAL,2025,20250529,034000,5/29/2025 3:40:00 AM,OTR
4,800 Block of HUTCHINS AV,39.1452,-84.4886,Avondale,7049,2025-INC-010320,BLACK,MALE,25,NONFATAL,2025,20250529,211000,5/29/2025 9:10:00 PM,Avondale
1,00 Block of E MCMICKEN AV,39.1157,-84.5145,Over-the-Rhine,7044,2025-INC-010042,BLACK,MALE,20,NONFATAL,2025,20250526,210700,5/26/2025 9:07:00 PM,OTR
4,5600 Block of GARDENHILL LN,39.1914,-84.5133,Winton Hills,7045,2025-INC-010046,BLACK,FEMALE,49,NONFATAL,2025,20250526,231800,5/26/2025 11:18:00 PM,Winton Hills
4,400 Block of KINGS RUN DR,39.1783,-84.5107,Winton Hills,7043,2025-INC-009794,BLACK,MALE,41,NONFATAL,2025,20250524,091000,5/24/2025 9:10:00 AM,Winton Hills
UNK,UNKNO Block of LOCATION,,,,7042,2025-INC-009424,WHITE,MALE,17,NONFATAL,2025,20250519,203000,5/19/2025 8:30:00 PM,
4,1900 Block of LANGDON FARM RD,39.1818,-84.4589,Bond Hill,7038,2025-INC-009149,BLACK,MALE,29,NONFATAL,2025,20250517,011600,5/17/2025 1:16:00 AM,Bond Hill
1,1700 Block of SYCAMORE ST,39.1145,-84.5103,Over-the-Rhine,7039,2025-INC-009236,BLACK,FEMALE,18,NONFATAL,2025,20250517,230500,5/17/2025 11:05:00 PM,Mount Auburn
3,2800 Block of COLERAIN AV,39.133,-84.5362,Camp Washington,7040,2025-INC-09238,BLACK,MALE,47,NONFATAL,2025,20250517,232000,5/17/2025 11:20:00 PM,Camp Washington
3,1200 Block of W GALBRAITH RD,39.2162,-84.5356,College Hill,7037,2025-INC-009100,BLACK,MALE,16,NONFATAL,2025,20250516,132000,5/16/2025 1:20:00 PM,College Hill
3,2700 Block of SPRING GROVE AV,39.1308,-84.5367,Camp Washington,7035,2025-INC-008610,WHITE,MALE,37,NONFATAL,2025,20250510,174000,5/10/2025 5:40:00 PM,Camp Washington
2,1100 Block of YALE AV,39.1281,-84.4866,Walnut Hills,7034,2025-INC-008345,BLACK,MALE,19,NONFATAL,2025,20250507,042700,5/7/2025 4:27:00 AM,Walnut Hills
4,00 Block of W 68TH ST,39.1924,-84.4848,Carthage,7031,2025-INC-008202,BLACK,MALE,38,FATAL,2025,20250505,000100,5/5/2025 12:01:00 AM,Carthage
4,8400 Block of WOODBINE AV,39.2159,-84.4664,Hartwell,7030,2025-INC-008168,BLACK,MALE,40,FATAL,2025,20250504,113000,5/4/2025 11:30:00 AM,Hartwell
2,700 Block of OAK ST,39.1303,-84.4928,Walnut Hills,7032,2025-INC-008048,BLACK,FEMALE,17,NONFATAL,2025,20250502,140000,5/2/2025 2:00:00 PM,Walnut Hills
